motivacion,infracciones,porcentaje
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: CUANDO LOS CONDUCTORES CIRCULEN POR UNA VÍA QUE NO CUENTE CON SEMÁFOROS O SE ENCUENTREN APAGADOS Y NO HAYA SEÑALAMIENTO RESTRICTIVO QUE REGULE LA PREFERENCIA DE PASO, LUEGO DE DEJAR PASAR A LOS PEATONES, SE AJUSTARÁN A LA SIGUIENTE JERARQUÍA DE REGLAS: EL QUE CIRCULE POR UNA VÍA PRIMARIA TIENE PREFERENCIA DE PASO SOBRE EL QUE PRETENDA ACCEDER A ELLA;",8,0
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN CARRETERAS DE NO MÁS DE DOS CARRILES Y CON DOBLE SENTIDO DE CIRCULACIÓN, EN UN TRAMO MENOR A: CINCUENTA METROS DE UN VEHÍCULO ESTACIONADO EN EL LADO OPUESTO; Y",8,0
SE PROHÍBE INSTALAR O UTILIZAR EN VEHÍCULOS MOTORIZADOS: FAROS DESLUMBRANTES QUE NO CUMPLAN CON LAS NORMAS OFICIALES MEXICANAS Y PONGAN EN RIESGO LA SEGURIDAD DE CONDUCTORES O PEATONES;,8,0
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN: CIRCULAR POR EL CARRIL EXCLUSIVO PARA USO DE TRANSPORTE PÚBLICO SI LA VÍA CUENTA CON UNO; EXCEPTO CUANDO EXISTA ALGÚN OBSTÁCULO EN EL CARRIL;",7,0
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN: COMPARTIR DE MANERA RESPONSABLE CON LOS CICLISTAS EL ESPACIO DE CIRCULACIÓN EN CARRILES DE LA EXTREMA DERECHA Y REBASARLOS OTORGANDO AL MENOS 1.50 METROS DE SEPARACIÓN LATERAL ENTRE LOS DOS VEHÍCULOS, DISMINUIR LA VELOCIDAD Y TOMAR LAS PRECAUCIONES NECESARIAS;",7,0
"EN CASO DE EMERGENCIA, SINIESTRO O DESASTRE, LOS VEHÍCULOS DE EMERGENCIA QUE CIRCULEN CON LAS LUCES ENCENDIDAS Y SEÑALES AUDIBLES, SIEMPRE Y CUANDO TOMEN LAS MEDIDAS DE SEGURIDAD NECESARIAS, PUEDEN: TRANSITAR EN SENTIDO CONTRARIO; Y",7,0
"LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS QUE ACCEDAN A VÍAS CONCESIONADAS O PERMISIONADAS ESTÁN OBLIGADOS A REALIZAR EL PAGO CORRESPONDIENTE DE ACUERDO A LAS TARIFAS ESTABLECIDAS, SALVO QUE: SE TRATE DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS CUYAS RUTAS INCLUYAN TRAMOS EN ESTAS VÍAS; Y",7,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: A LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS: UTILIZAR PARLANTES O PRODUCIR RUIDO EXCESIVO CON APARATOS PARA LA REPRODUCCIÓN DE MÚSICA;",7,0
.,6,0
"ADEMÁS DE LAS OBLIGACIONES CONTENIDAS EN LOS ARTÍCULOS QUE ANTECEDEN, LOS CONDUCTORES DE VEHÍCULOS QUE TRANSPORTEN SUSTANCIAS TÓXICAS O PELIGROSAS DEBEN: SUJETARSE ESTRICTAMENTE A CIRCULAR POR LAS RUTAS, HORARIOS Y LOS ITINERARIOS DE CARGA Y DESCARGA AUTORIZADOS Y DADOS A CONOCER POR LA SECRETARÍA Y POR SEGURIDAD PÚBLICA;",6,0
"LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: DAR PRIORIDAD A LOS VEHÍCULOS DE EMERGENCIA QUE CIRCULEN CON LAS SEÑALES LUMINOSAS Y AUDIBLES ENCENDIDAS, DEBIENDO DISMINUIR LA VELOCIDAD PARA DESPEJAR EL CAMINO Y PROCURAR ALINEARSE HACIA LA DERECHA;",6,0
"LOS CONDUCTORES DE VEHÍCULOS DEBERÁN RESPETAR LOS LÍMITES DE VELOCIDAD ESTABLECIDOS EN LA SEÑALIZACIÓN VIAL. A FALTA DE SEÑALAMIENTO RESTRICTIVO ESPECÍFICO, LOS LÍMITES DE VELOCIDAD SE ESTABLECERÁN DE ACUERDO A LO SIGUIENTE: EN LOS CARRILES CENTRALES DE LAS VÍAS DE ACCESO CONTROLADO LA VELOCIDAD MÁXIMA SERÁ DE 80 KILÓMETROS POR HORA; APLICANDO LA MÁXIMA SANCIÓN  CUANDO SE REBASE EL LÍMITE DE VELOCIDAD POR MÁS DE 40 % DE LA VELOCIDAD AUTORIZADA, DE ACUERDO CON LA INFORMACIÓN CAPTADA POR SISTEMA TECNOLÓGICO",6,0
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: EN VÍAS DE ACCESO CONTROLADO, LOS VEHÍCULOS QUE SE INCORPORAN A LOS CARRILES CENTRALES DEBERÁN CEDER EL PASO; LOS VEHÍCULOS QUE CIRCULAN SOBRE LA VÍA LATERAL, DEBERÁN CEDER EL PASO A LOS QUE SE DESINCORPORAN DE LOS CARRILES CENTRALES, CON EXCEPCIÓN DE SITUACIONES DE CONGESTIONAMIENTO VIAL CON TRÁNSITO DETENIDO, EN LAS QUE SE ALTERNARÁ EL PASO BAJO EL CRITERIO DE ¿UNO Y UNO¿;",6,0
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: CON EXCEPCIÓN DE VEHÍCULOS NO MOTORIZADOS, CIRCULAR SOBRE EL ACOTAMIENTO DE LA VÍA; ÉSTE SE UTILIZARÁ PRINCIPALMENTE PARA EL ESTACIONAMIENTO DE VEHÍCULOS QUE SUFRAN ALGUNA DESCOMPOSTURA;",6,0
"LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE ESCOLAR O DE PERSONAL DEBEN: TOMAR LAS DEBIDAS PRECAUCIONES PARA QUE SE REALICEN LAS MANIOBRAS DE ASCENSO Y DESCENSO DE USUARIOS DE MANERA SEGURA, TALES COMO: REALIZAR MANIOBRAS DE ASCENSO O DESCENSO DE PASAJEROS, EN EL CARRIL DE LA EXTREMA DERECHA Y SÓLO EN LUGARES AUTORIZADOS;",5,0
LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN CUMPLIR CON LOS REQUISITOS LEGALES ESPECIFICADOS POR CADA TIPO DE VEHÍCULO DEL QUE SE TRATE: CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN: UTILIZAR LA CROMÁTICA AUTORIZADA POR LA SECRETARÍA.,5,0
"LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN: CIRCULAR CON LAS PORTEZUELAS CERRADAS Y, ANTES DE ABRIRLAS, VERIFICAR QUE NO SE INTERFIERA EN EL FLUJO DE PEATONES U OTROS VEHÍCULOS; EN SU CASO, NO LA MANTENDRÁN ABIERTA POR MAYOR TIEMPO QUE EL ESTRICTAMENTE NECESARIO PARA SU ASCENSO O DESCENSO;",5,0
"LOS VEHÍCULOS MOTORIZADOS QUE TENGAN ADAPTADOS DISPOSITIVOS DE ACOPLAMIENTO PARA TRACCIÓN DE REMOLQUES Y SEMIRREMOLQUES DEBERÁN CUMPLIR CON LO SIGUIENTE: LOS REMOLQUES DEBEN CONTAR CON BANDAS REFLEJANTES DE COLOR BLANCO Y ROJO EN LOS COSTADOS LATERALES Y POSTERIOR Y BANDAS REFLEJANTES AMARILLAS EN LA PARTE FRONTAL, ASÍ COMO DE DOS LÁMPARAS INDICADORAS DE FRENADO; Y",5,0
QUEDA PROHIBIDO A LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO COLECTIVO DE PASAJEROS: UTILIZAR EQUIPOS DE AUDIO A NIVELES DE VOLUMEN QUE RESULTEN DAÑINOS A LA SALUD O MOLESTOS A LOS PASAJEROS POR REBASAR LA MEDICIÓN DE DECIBELES PERMITIDOS.,5,0
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: REBASAR POR EL CARRIL DE SENTIDO CONTRARIO, CUANDO: EXISTAN PEATONES U OTROS VEHÍCULOS CRUZANDO EN LA INTERSECCIÓN;",5,0
SE PROHÍBE INSTALAR O UTILIZAR EN VEHÍCULOS MOTORIZADOS: BOCINAS (CLAXON) QUE PRODUZCA RUIDO EXCESIVO O UN SONIDO DIVERSO AL QUE PRODUCÍA LA BOCINA ORIGINAL DE FÁBRICA; Y,5,0
"EN CASO DE EMERGENCIA, SINIESTRO O DESASTRE, LOS VEHÍCULOS DE EMERGENCIA QUE CIRCULEN CON LAS LUCES ENCENDIDAS Y SEÑALES AUDIBLES, SIEMPRE Y CUANDO TOMEN LAS MEDIDAS DE SEGURIDAD NECESARIAS, PUEDEN: DESATENDER LA SEÑALIZACIÓN VIAL;",4,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. VEHÍCULOS DE TRANSPORTE PÚBLICO, TRANSPORTE DE PERSONAL Y ESCOLAR: BANDAS REFLEJANTES DE COLOR BLANCO Y ROJO EN LOS COSTADOS LATERALES Y POSTERIOR Y BANDAS REFLEJANTES AMARILLAS EN LA PARTE FRONTAL;",4,0
LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN CUMPLIR CON LOS REQUISITOS LEGALES ESPECIFICADOS POR CADA TIPO DE VEHÍCULO DEL QUE SE TRATE: LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE DE CARGA DEBEN: CONTAR CON EL PERMISO O CONCESIÓN CORRESPONDIENTE.,4,0
LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS QUE EMITAN HUMO OSTENSIBLEMENTE CONTAMINANTE SEA CUAL FUERE LA ENTIDAD FEDERATIVA EN LA QUE FUERON MATRICULADOS.,4,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: ADICIONALMENTE, A LOS MOTOCICLISTAS: SUJETARSE A OTROS VEHÍCULOS EN MOVIMIENTO;",4,0
"LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. ADICIONALMENTE, LOS MOTOCICLISTAS DEBEN: USAR ADITAMENTOS LUMINOSOS O BANDAS REFLEJANTES EN HORARIO NOCTURNO;",4,0
"LOS SIGUIENTES VEHÍCULOS DEBERÁN CONTAR EN LA PARTE SUPERIOR CON LUCES DESTELLANTES DE COLOR ÁMBAR, PREVIA AUTORIZACIÓN DE LA SECRETARÍA: VEHÍCULOS PARTICULARES QUE REALICEN TRABAJOS DE SERVICIOS EN LA VÍA EN HORARIO NOCTURNO;",4,0
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: REBASAR POR EL CARRIL DE SENTIDO CONTRARIO, CUANDO: EL CARRIL DE CIRCULACIÓN CONTRARIO NO OFREZCA UNA CLARA VISIBILIDAD O CUANDO NO ESTÉ LIBRE DE TRÁNSITO EN UNA LONGITUD SUFICIENTE QUE PERMITA EFECTUAR LA MANIOBRA;",4,0
"ADEMÁS DE LAS OBLIGACIONES CONTENIDAS EN LOS ARTÍCULOS QUE ANTECEDEN, LOS CONDUCTORES DE VEHÍCULOS QUE TRANSPORTEN SUSTANCIAS TÓXICAS O PELIGROSAS DEBEN: CUMPLIR CON LOS LINEAMIENTOS EN MATERIA DE SUSTANCIAS PELIGROSAS QUE PARA TAL EFECTO EXPIDAN LAS AUTORIDADES COMPETENTES.",3,0
"ADEMÁS DE LAS OBLIGACIONES CONTENIDAS EN LOS ARTÍCULOS QUE ANTECEDEN, LOS CONDUCTORES DE VEHÍCULOS QUE TRANSPORTEN SUSTANCIAS TÓXICAS O PELIGROSAS DEBEN: DEBERÁN IR SEÑALIZADOS Y BALIZADOS DE CONFORMIDAD CON LO ESTABLECIDO EN LAS NORMAS OFICIALES MEXICANAS CON RELACIÓN A ESTE TIPO DE TRANSPORTE; Y",3,0
"AUN CUANDO SE ENCUENTRE PRESENTE EL CONDUCTOR O ALGUNA OTRA PERSONA, LOS VEHÍCULOS MOTORIZADOS ESTACIONADOS SERÁN INMOVILIZADOS POR EL AGENTE, CUANDO LOS VEHÍCULOS SE ENCUENTREN ESTACIONADOS EN LUGARES PROHIBIDOS SEGÚN LO ESTABLECIDO EN EL ARTÍCULO 30 FRACCIONES I, IV, V, VII, VIII, IX, XIII, XIV Y XVIII DE ESTE ORDENAMIENTO, NO SE CUENTE INMEDIATAMENTE CON UNA GRÚA PARA REMITIRLOS AL DEPÓSITO DE VEHÍCULOS Y LOS AGENTES DISPONGAN DE INMOVILIZADORES; MENOS DE 10 METROS DE CUALQUIER CRUCE DE VIA FERREA.",3,0
"EN LA VÍA PÚBLICA ESTÁ PROHIBIDO: EFECTUAR TRABAJOS EN LA VÍA PÚBLICA SIN CONTAR CON LOS DISPOSITIVOS DE DESVÍO Y PROTECCIÓN DE OBRA, ASÍ COMO LA SEÑALIZACIÓN EN MATERIA DE PROTECCIÓN CIVIL.",3,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. CONDUCTORES DE TODO VEHÍCULO MOTORIZADO: CINTURONES DE SEGURIDAD PARA CADA OCUPANTE DEL VEHÍCULO, Y",3,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. CONDUCTORES DE TODO VEHÍCULO MOTORIZADO: EXTINTOR, DOS SEÑALAMIENTOS DE ADVERTENCIA REFLEJANTES O LUMINOSOS, NEUMÁTICO DE REFACCIÓN Y LA HERRAMIENTA ADECUADA PARA EL CAMBIO O REPARACIÓN DE LA MISMA; O EN SU CASO, NEUMÁTICOS QUE PERMITAN LA CIRCULACIÓN SIN PRESIÓN O EL SISTEMA AUXILIAR QUE PERMITA RODAR CON SEGURIDAD, CON UN NEUMÁTICO PONCHADO.",3,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. EN CASO DE VEHÍCULOS PARA ENSEÑANZA, ADICIONALMENTE DEBEN CONTAR CON: UN SISTEMA DE DOBLE CONTROL DE FRENOS, EMBRAGUES Y RETROVISORES, QUE PERMITA AL INSTRUCTOR CONTROLAR EL VEHÍCULO CUANDO SEA NECESARIO CON ABSOLUTA INDEPENDENCIA DEL APRENDIZ;",3,0
LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN CUMPLIR CON LOS REQUISITOS LEGALES ESPECIFICADOS POR CADA TIPO DE VEHÍCULO DEL QUE SE TRATE: TRATÁNDOSE DE CICLOTAXIS: UTILIZAR LA CROMÁTICA AUTORIZADA POR LA SECRETARÍA; Y,3,0
"LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS QUE ACCEDAN A VÍAS CONCESIONADAS O PERMISIONADAS ESTÁN OBLIGADOS A REALIZAR EL PAGO CORRESPONDIENTE DE ACUERDO A LAS TARIFAS ESTABLECIDAS, SALVO QUE: SE TRATE DE VEHÍCULOS DE EMERGENCIA QUE SE DIRIJAN A ATENDER ALGUNA INCIDENCIA.",3,0
"LOS CONDUCTORES DE VEHÍCULOS NO MOTORIZADOS TIENEN PREFERENCIA DE PASO SOBRE LOS VEHÍCULOS MOTORIZADOS: EN LAS INTERSECCIONES CONTROLADAS POR SEMÁFOROS, CUANDO: LA LUZ VERDE LES OTORGUE EL PASO;",3,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: ADICIONALMENTE, A LOS CONDUCTORES DE VEHÍCULOS DE CARGA: CIRCULAR CON PASAJEROS QUE VIAJEN EN EL ÁREA DE CARGA; Y",3,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: ADICIONALMENTE, A LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO, ESCOLAR Y DE PERSONAL: CARGAR COMBUSTIBLE LLEVANDO PASAJEROS A BORDO; Y",3,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: ADICIONALMENTE, A LOS MOTOCICLISTAS: TRANSPORTAR A UN PASAJERO ENTRE EL CONDUCTOR Y EL MANUBRIO; Y",3,0
LOS VEHÍCULOS MOTORIZADOS QUE TENGAN ADAPTADOS DISPOSITIVOS DE ACOPLAMIENTO PARA TRACCIÓN DE REMOLQUES Y SEMIRREMOLQUES DEBERÁN CUMPLIR CON LO SIGUIENTE: UN MECANISMO GIRATORIO O RETRÁCTIL QUE NO REBASE LA DEFENSA DEL MISMO; LOS VEHÍCULOS QUE NO CUMPLAN CON ESTE REQUISITO DEBERÁN SER MODIFICADOS POR EL PROPIETARIO;,3,0
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN CARRETERAS DE NO MÁS DE DOS CARRILES Y CON DOBLE SENTIDO DE CIRCULACIÓN, EN UN TRAMO MENOR A: CIEN METROS DE UNA CURVA O CIMA SIN VISIBILIDAD;",3,0
"VEHICULO USO PARTICULAR - LOS CONDUCTORES DE VEHÍCULOS DEBERÁN RESPETAR LOS LÍMITES DE VELOCIDAD ESTABLECIDOS EN LA SEÑALIZACIÓN VIAL. A FALTA DE SEÑALAMIENTO RESTRICTIVO ESPECÍFICO, LOS LÍMITES DE VELOCIDAD SE ESTABLECERÁN DE ACUERDO A LO SIGUIENTE: EN VÍAS SECUNDARIAS INCLUYENDO LAS LATERALES DE VÍAS DE ACCESO CONTROLADO, LA VELOCIDAD MÁXIMA SERÁ DE 40 KILÓMETROS POR HORA;  APLICANDO LA MÁXIMA SANCIÓN  CUANDO SE REBASE EL LÍMITE DE VELOCIDAD POR MÁS DE 40 % DE LA VELOCIDAD AUTORIZADA, DE ACUERDO CON LA INFORMACIÓN CAPTADA POR SISTEMA TECNOLÓGICO",3,0
"VEHICULO USO PARTICULAR - PARA GARANTIZAR LA SEGURIDAD DE LOS PEATONES, LOS CONDUCTORES DE VEHÍCULOS ESTÁN OBLIGADOS A OTORGAR: PREFERENCIA DE PASO EN LAS INTERSECCIONES CONTROLADAS POR SEMÁFOROS, CUANDO: HABIÉNDOLES CORRESPONDIDO EL PASO DE ACUERDO CON EL CICLO DEL SEMÁFORO, NO ALCANCEN A CRUZAR COMPLETAMENTE LA VÍA; Y",3,0
"VEHICULO USO PARTICULAR - PARA GARANTIZAR LA SEGURIDAD DE LOS PEATONES, LOS CONDUCTORES DE VEHÍCULOS ESTÁN OBLIGADOS A OTORGAR: PRIORIDAD DE USO EN LAS CALLES DE PRIORIDAD PEATONAL, DÓNDE LOS PEATONES PODRÁN CIRCULAR EN TODO LO ANCHO DE LA VÍA Y EN CUALQUIER SENTIDO.",3,0
"EN LA VÍA PÚBLICA ESTÁ PROHIBIDO: COLOCAR LUCES, DISPOSITIVOS O CUALQUIER OBJETO QUE CONFUNDAN, DESORIENTEN O DISTRAIGAN A PEATONES O CONDUCTORES Y",2,0
"EN LA VÍA PÚBLICA ESTÁ PROHIBIDO: COLOCAR, INSTALAR, ARROJAR O ABANDONAR OBJETOS O RESIDUOS QUE PUEDAN ENTORPECER LA LIBRE CIRCULACIÓN DE PEATONES Y VEHÍCULOS;",2,0
LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: CUANDO TRANSITEN EN ZONAS ESCOLARES: OBEDECER LAS INDICACIONES DE LOS AGENTES O DE LOS PROMOTORES VOLUNTARIOS.,2,0
"LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE ESCOLAR O DE PERSONAL DEBEN: EN CASOS EN LOS QUE EL SENTIDO DE CIRCULACIÓN IMPLIQUE UN CRUCE DE ESCOLARES SOBRE LA VÍA, ÉSTOS DEBERÁN SER ASISTIDOS POR EL AUXILIAR QUE VIAJA EN EL VEHÍCULO, HASTA CONFIRMAR QUE EL ESCOLAR SE ENCUENTRA EN LA ACERA.",2,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. EN CASO DE VEHÍCULOS PARA ENSEÑANZA, ADICIONALMENTE DEBEN CONTAR CON: LA LEYENDA ¿VEHÍCULO DE ENSEÑANZA¿ EN LOS COSTADOS Y LA PARTE POSTERIOR; Y",2,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. EN CASO DE VEHÍCULOS PARA ENSEÑANZA, ADICIONALMENTE DEBEN CONTAR CON: LAS DEMÁS CARACTERÍSTICAS QUE DETERMINE LA SECRETARÍA.",2,0
"LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN CUMPLIR CON LOS REQUISITOS LEGALES ESPECIFICADOS POR CADA TIPO DE VEHÍCULO DEL QUE SE TRATE: LOS CONDUCTORES DE VEHÍCULOS QUE TRANSPORTEN SUSTANCIAS TÓXICAS O PELIGROSAS, ADICIONALMENTE DEBEN CONTAR CON: EL SISTEMA DE IDENTIFICACIÓN DE UNIDADES DESTINADAS AL TRANSPORTE DE SUBSTANCIAS, MATERIALES Y RESIDUOS PELIGROSOS DE ACUERDO A LA NORMA VIGENTE;",2,0
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: EN LAS GLORIETAS, EL VEHÍCULO QUE SE ENCUENTRE DENTRO DE LA MISMA TIENE PREFERENCIA DE PASO SOBRE EL QUE PRETENDA ACCEDER A ELLA; EN AQUELLAS GLORIETAS DE VARIOS CARRILES TIENEN PREFERENCIA AQUELLOS VEHÍCULOS QUE REALICEN MOVIMIENTO PARA SALIR DE ELLA;",2,0
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: REBASAR POR EL CARRIL DE SENTIDO CONTRARIO, CUANDO: SEA POSIBLE REBASARLOS EN EL MISMO SENTIDO DE CIRCULACIÓN;",2,0
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN UN TRAMO MENOR A: SEIS METROS DE LA ENTRADA DE UNA ESTACIÓN DE BOMBEROS Y DE VEHÍCULOS DE EMERGENCIA; Y EN UN ESPACIO DE 25 METROS A CADA LADO DEL EJE DE ENTRADA EN LA ACERA OPUESTA A ELLA; Y,2,0
"SE PROHÍBE INSTALAR O UTILIZAR EN VEHÍCULOS MOTORIZADOS: BANDAS DE ORUGA, RUEDAS O NEUMÁTICOS METÁLICAS U OTROS MECANISMOS DE TRACCIÓN QUE DAÑEN LA SUPERFICIE DE RODADURA;",2,0
"SÓLO SE PERMITE LA CIRCULACIÓN DE MAQUINARIA AGRÍCOLA O DE CONSTRUCCIÓN EN LA VÍA DEL DISTRITO FEDERAL CUANDO CUENTEN CON AUTORIZACIÓN POR PARTE DE LA SECRETARÍA. SU CIRCULACIÓN SE LIMITARÁ AL TRASLADO DEL VEHÍCULO AL LUGAR DONDE SERÁ UTILIZADO. AL TRANSITAR POR LA VÍA, LA MAQUINARIA AGRÍCOLA O DE CONSTRUCCIÓN DEBERÁ CONTAR CON LAS MEDIDAS DE SEGURIDAD NECESARIAS, TALES COMO SEÑALES DE ADVERTENCIA REFLEJANTES O LUMINOSAS. CUANDO SU VELOCIDAD DE CIRCULACIÓN SEA MENOR A 20 KILÓMETROS POR HORA O CUENTE CON DIMENSIONES EXCESIVAS DEBERÁ CONTAR CON EL APOYO DE UN VEHÍCULO QUE LO ABANDERE PARA PREVENIR A LOS DEMÁS CONDUCTORES DE SU PRESENCIA",2,0
"VEHICULO USO PARTICULAR - PARA GARANTIZAR LA SEGURIDAD DE LOS PEATONES, LOS CONDUCTORES DE VEHÍCULOS ESTÁN OBLIGADOS A OTORGAR: PRIORIDAD DE USO DEL ARROYO VEHICULAR, CUANDO: NO EXISTAN ACERAS EN LA VÍA; EN CASO DE EXISTIR ACOTAMIENTO O VÍAS CICLISTAS, LOS PEATONES PODRÁN CIRCULAR DEL LADO DERECHO DE ÉSTAS; A FALTA DE ESTAS OPCIONES TRANSITARÁN POR EL EXTREMO DE LA VÍA Y EN SENTIDO CONTRARIO AL FLUJO VEHICULAR;",2,0
"VEHICULO USO PARTICULAR - PARA GARANTIZAR LA SEGURIDAD DE LOS PEATONES, LOS CONDUCTORES DE VEHÍCULOS ESTÁN OBLIGADOS A OTORGAR: PRIORIDAD DE USO DEL ARROYO VEHICULAR, CUANDO: REMOLQUEN ALGÚN OBJETO QUE IMPIDA LA LIBRE CIRCULACIÓN DE LOS DEMÁS PEATONES SOBRE LA ACERA, DEBIENDO CIRCULAR EN EL PRIMER CARRIL Y EN EL SENTIDO DE LA VÍA; EN CASO QUE TRANSITEN EN CICLOVÍAS Y CARRILES PREFERENCIALES CICLISTAS DEBERÁN HACERLO PEGADO A LA ACERA Y EN EL SENTIDO DE LA CIRCULACIÓN CICLISTA;",2,0
